Date,Close,log_return,rsi_14,macd,macd_signal,bb_upper,bb_lower,sma_20,volume_log
2018-01-30,23.05466651916504,-0.01067099478570611,59.814414990208746,0.4185730054748795,0.41282344450470415,24.11901144470019,20.920588546144536,22.519799995422364,18.07488216589609
2018-01-31,23.62066650390625,0.024253827172148544,65.99462142924824,0.44621929132977556,0.41950261386971843,24.207284618881957,21.057515262099486,22.63239994049072,18.350381673330062
2018-02-01,23.28333282470703,-0.014384252958894273,60.06555708251802,0.43588455750413146,0.42277900259660106,24.17396184292308,21.30417135867604,22.73906660079956,17.958097531191825
2018-02-02,22.916667938232425,-0.015873271824704643,54.349846311786834,0.39357057786493144,0.41693731765026715,24.006839626523373,21.665493709353093,22.836166667938233,17.833190053245563
2018-02-05,22.208667755126957,-0.031381851268344675,45.3718408300263,0.2994548176393117,0.3934408176480761,23.791258600062225,21.99140817850223,22.891333389282227,18.01962840026223
2018-02-06,22.264667510986328,0.0025183533063413747,46.12983746568633,0.22677202513635208,0.36010705914573127,23.80349202872569,21.962908117758683,22.883200073242186,18.1505242114681
2018-02-07,23.0,0.032493210526077794,54.96616744591184,0.22590152272473674,0.3332659518615324,23.791730875197775,22.0500692422949,22.920900058746337,18.465061209198996
2018-02-08,21.01533317565918,-0.09024189341458241,37.22044347510355,0.06432412860611336,0.2794775872104486,24.051020997733247,21.660312467842928,22.855666732788087,18.85712113282318
2018-02-09,20.69466781616211,-0.015376248848248276,35.24077340699904,-0.08858102798352618,0.20586586417165365,24.29824903370476,21.229551144823073,22.763900089263917,19.08339707229569
2018-02-12,21.048667907714844,0.016961202165830976,39.09218809079122,-0.17912972139303918,0.1288667470587151,24.406822333958278,20.98437792238938,22.69560012817383,18.3525839101894
2018-02-13,21.577333450317383,0.024806110575996826,44.409381394619416,-0.2058583157211693,0.06192173450273821,24.423862208024868,20.85800462852298,22.640933418273924,18.040927255899337
